time	V(quada)	V(quadb)
4.492836560040337e-07	-3.178482e+01	3.174385e+01
4.493043763392271e-07	-3.178000e+01	3.173901e+01
4.493458170096141e-07	-3.177037e+01	3.172932e+01
4.494202473274949e-07	-3.175304e+01	3.171188e+01
4.494618060233648e-07	-3.174335e+01	3.170214e+01
4.494661923615339e-07	-3.174233e+01	3.170111e+01
4.494749650378721e-07	-3.174028e+01	3.169905e+01
4.494925103905485e-07	-3.173618e+01	3.169492e+01
4.495143677108827e-07	-3.173107e+01	3.168979e+01
4.495427534072051e-07	-3.172443e+01	3.168310e+01
4.495930975503632e-07	-3.171264e+01	3.167124e+01
4.496245616335363e-07	-3.170526e+01	3.166382e+01
4.496802964380703e-07	-3.169217e+01	3.165065e+01
4.498628782874354e-07	-3.164909e+01	3.160731e+01
4.500454601368006e-07	-3.160575e+01	3.156372e+01
4.502280419861657e-07	-3.156216e+01	3.151988e+01
4.504106238355309e-07	-3.151832e+01	3.147578e+01
4.505932056848960e-07	-3.147423e+01	3.143143e+01
4.507757875342612e-07	-3.142988e+01	3.138682e+01
4.509583693836263e-07	-3.138527e+01	3.134196e+01
4.510898014570807e-07	-3.135300e+01	3.130950e+01
4.512212335305351e-07	-3.132056e+01	3.127688e+01
4.513526656039895e-07	-3.128797e+01	3.124410e+01
4.514840976774439e-07	-3.125521e+01	3.121117e+01
4.516155297508983e-07	-3.122230e+01	3.117807e+01
4.517469618243526e-07	-3.118923e+01	3.114481e+01
4.518783938978070e-07	-3.115600e+01	3.111140e+01
4.525072263831681e-07	-3.099451e+01	3.094900e+01
4.537648913538904e-07	-3.066350e+01	3.061618e+01
4.547404347105660e-07	-3.039947e+01	3.035074e+01
4.555511698776199e-07	-3.017384e+01	3.012387e+01
4.561986297479996e-07	-2.998931e+01	2.993826e+01
4.567981054182598e-07	-2.981462e+01	2.976246e+01
4.573621321894608e-07	-2.964631e+01	2.959300e+01
4.581170917795004e-07	-2.941495e+01	2.935999e+01
4.589029329870150e-07	-2.916801e+01	2.911125e+01
4.592841536486634e-07	-2.904566e+01	2.898800e+01
4.594397420329332e-07	-2.899500e+01	2.893699e+01
4.595284636131706e-07	-2.896591e+01	2.890770e+01
4.596122325316670e-07	-2.893834e+01	2.887993e+01
4.596917380179622e-07	-2.891209e+01	2.885350e+01
4.597634540432068e-07	-2.888834e+01	2.882959e+01
4.598340224315502e-07	-2.886489e+01	2.880598e+01
